Username,Repo_Name,Stars,Repo_URL,Last Update
mrdoob,three.js,95500,https://github.com/mrdoob/three.js,"Nov 11, 2023"
pmndrs,react-three-fiber,24400,https://github.com/pmndrs/react-three-fiber,"Nov 10, 2023"
libgdx,libgdx,22200,https://github.com/libgdx/libgdx,"Nov 11, 2023"
BabylonJS,Babylon.js,21600,https://github.com/BabylonJS/Babylon.js,"Nov 11, 2023"
ssloy,tinyrenderer,18300,https://github.com/ssloy/tinyrenderer,"Nov 9, 2023"
lettier,3d-game-shaders-for-beginners,16300,https://github.com/lettier/3d-game-shaders-for-beginners,"Jun 25, 2023"
aframevr,aframe,15800,https://github.com/aframevr/aframe,"Nov 10, 2023"
FreeCAD,FreeCAD,15700,https://github.com/FreeCAD/FreeCAD,"Nov 11, 2023"
CesiumGS,cesium,11200,https://github.com/CesiumGS/cesium,"Nov 11, 2023"
MonoGame,MonoGame,10200,https://github.com/MonoGame/MonoGame,"Nov 9, 2023"
metafizzy,zdog,10100,https://github.com/metafizzy/zdog,"Jul 18, 2023"
blender,blender,10000,https://github.com/blender/blender,"Nov 4, 2023"
isl-org,Open3D,9700,https://github.com/isl-org/Open3D,"Nov 10, 2023"
timzhang642,3D-Machine-Learning,9200,https://github.com/timzhang642/3D-Machine-Learning,"Feb 2, 2023"
a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator,"Sep 8, 2023"
nerfstudio-project,nerfstudio,7000,https://github.com/nerfstudio-project/nerfstudio,"Nov 11, 2023"
domlysz,BlenderGIS,6800,https://github.com/domlysz/BlenderGIS,"Aug 8, 2023"
FyroxEngine,Fyrox,6700,https://github.com/FyroxEngine/Fyrox,"Nov 11, 2023"
google,model-viewer,6100,https://github.com/google/model-viewer,"Nov 8, 2023"
openscad,openscad,6000,https://github.com/openscad/openscad,"Nov 9, 2023"
