Username,Repo_Name,Stars,Repo_URL,Last Update
public-apis,public-apis,268000,https://github.com/public-apis/public-apis,"Nov 8, 2023"
neovim,neovim,70800,https://github.com/neovim/neovim,"Nov 11, 2023"
tiangolo,fastapi,64400,https://github.com/tiangolo/fastapi,"Nov 11, 2023"
strapi,strapi,57200,https://github.com/strapi/strapi,"Nov 11, 2023"
hoppscotch,hoppscotch,56400,https://github.com/hoppscotch/hoppscotch,"Nov 11, 2023"
ocornut,imgui,51600,https://github.com/ocornut/imgui,"Nov 11, 2023"
meilisearch,meilisearch,39700,https://github.com/meilisearch/meilisearch,"Nov 10, 2023"
slatedocs,slate,35600,https://github.com/slatedocs/slate,"Nov 6, 2023"
Kong,insomnia,31100,https://github.com/Kong/insomnia,"Nov 11, 2023"
hasura,graphql-engine,30500,https://github.com/hasura/graphql-engine,"Nov 11, 2023"
httpie,cli,30100,https://github.com/httpie/cli,"Oct 24, 2023"
trpc,trpc,29700,https://github.com/trpc/trpc,"Nov 11, 2023"
ccxt,ccxt,29600,https://github.com/ccxt/ccxt,"Nov 11, 2023"
Binaryify,NeteaseCloudMusicApi,29500,https://github.com/Binaryify/NeteaseCloudMusicApi,"Nov 10, 2023"
YMFE,yapi,26600,https://github.com/YMFE/yapi,"Oct 25, 2023"
encode,django-rest-framework,26600,https://github.com/encode/django-rest-framework,"Nov 10, 2023"
littlecodersh,ItChat,24400,https://github.com/littlecodersh/ItChat,"Sep 28, 2023"
directus,directus,23700,https://github.com/directus/directus,"Nov 11, 2023"
microsoft,api-guidelines,22000,https://github.com/microsoft/api-guidelines,"Nov 6, 2023"
shieldfy,API-Security-Checklist,21500,https://github.com/shieldfy/API-Security-Checklist,"Jul 12, 2023"
