Username,Repo_Name,Stars,Repo_URL,Last Update
bitwarden,server,13500,https://github.com/bitwarden/server,"Nov 11, 2023"
dotnet,AspNetCore.Docs,12000,https://github.com/dotnet/AspNetCore.Docs,"Nov 11, 2023"
abpframework,abp,11700,https://github.com/abpframework/abp,"Nov 11, 2023"
aspnetboilerplate,aspnetboilerplate,11400,https://github.com/aspnetboilerplate/aspnetboilerplate,"Nov 10, 2023"
nopSolutions,nopCommerce,8600,https://github.com/nopSolutions/nopCommerce,"Nov 10, 2023"
ElectronNET,Electron.NET,7000,https://github.com/ElectronNET/Electron.NET,"Nov 4, 2023"
thangchung,clean-code-dotnet,6500,https://github.com/thangchung/clean-code-dotnet,"Aug 20, 2023"
RicoSuter,NSwag,6100,https://github.com/RicoSuter/NSwag,"Nov 10, 2023"
FastEndpoints,FastEndpoints,3300,https://github.com/FastEndpoints/FastEndpoints,"Nov 9, 2023"
dotnet,aspnet-api-versioning,2800,https://github.com/dotnet/aspnet-api-versioning,"Oct 9, 2023"
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET,"Jun 27, 2023"
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor,"Sep 6, 2023"
serenity-is,Serenity,2500,https://github.com/serenity-is/Serenity,"Nov 10, 2023"
mjebrahimi,Awesome-Microservices-DotNet,2500,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,"May 28, 2023"
loic-sharma,BaGet,2400,https://github.com/loic-sharma/BaGet,"Oct 13, 2023"
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal,"May 26, 2019"
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter,"Oct 16, 2019"
MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla,"Nov 10, 2023"
smartstore,Smartstore,906,https://github.com/smartstore/Smartstore,"Nov 11, 2023"
antonioCoco,SharPyShell,819,https://github.com/antonioCoco/SharPyShell,"Sep 27, 2023"
