Username,Repo_Name,Stars,Repo_URL,Last Update
ljianshu,Blog,7700,https://github.com/ljianshu/Blog,"Dec 27, 2022"
metafizzy,infinite-scroll,7300,https://github.com/metafizzy/infinite-scroll,"Feb 24, 2022"
olifolkerd,tabulator,5800,https://github.com/olifolkerd/tabulator,"Nov 4, 2023"
developit,unfetch,5600,https://github.com/developit/unfetch,"Jul 23, 2023"
jquery-form,form,5200,https://github.com/jquery-form/form,"Sep 28, 2023"
Studio-42,elFinder,4500,https://github.com/Studio-42/elFinder,"Oct 17, 2023"
elbywan,wretch,4300,https://github.com/elbywan/wretch,"Oct 18, 2023"
dwyl,learn-to-send-email-via-google-script-html-no-server,3000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,"Jun 27, 2023"
ded,reqwest,2900,https://github.com/ded/reqwest,"Oct 3, 2021"
wendux,ajax-hook,2400,https://github.com/wendux/ajax-hook,"Sep 24, 2023"
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss,"Dec 6, 2022"
noelboss,featherlight,2100,https://github.com/noelboss/featherlight,"Sep 30, 2023"
craftpip,jquery-confirm,1900,https://github.com/craftpip/jquery-confirm,"Sep 4, 2023"
taoensso,sente,1700,https://github.com/taoensso/sente,"Nov 6, 2023"
nette,tracy,1700,https://github.com/nette/tracy,"Oct 16, 2023"
loadingio,css-spinner,1700,https://github.com/loadingio/css-spinner,"Jun 5, 2023"
k8w,tsrpc,1600,https://github.com/k8w/tsrpc,"Jul 4, 2023"
joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise,"May 8, 2023"
codingforentrepreneurs,eCommerce,1500,https://github.com/codingforentrepreneurs/eCommerce,"Jul 13, 2023"
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform,"Jun 28, 2022"
