Username,Repo_Name,Stars,Repo_URL,Last Update
jwasham,coding-interview-university,271000,https://github.com/jwasham/coding-interview-university,"Nov 4, 2023"
trekhleb,javascript-algorithms,177000,https://github.com/trekhleb/javascript-algorithms,"Nov 7, 2023"
TheAlgorithms,Python,173000,https://github.com/TheAlgorithms/Python,"Nov 11, 2023"
CyC2018,CS-Notes,168000,https://github.com/CyC2018/CS-Notes,"Nov 9, 2023"
yangshun,tech-interview-handbook,101000,https://github.com/yangshun/tech-interview-handbook,"Nov 3, 2023"
kdn251,interviews,60600,https://github.com/kdn251/interviews,"Aug 10, 2023"
TheAlgorithms,Java,54700,https://github.com/TheAlgorithms/Java,"Nov 7, 2023"
azl397985856,leetcode,52800,https://github.com/azl397985856/leetcode,"Oct 31, 2023"
krahets,hello-algo,46200,https://github.com/krahets/hello-algo,"Nov 11, 2023"
algorithm-visualizer,algorithm-visualizer,45200,https://github.com/algorithm-visualizer/algorithm-visualizer,"Oct 1, 2023"
youngyangyang04,leetcode-master,43200,https://github.com/youngyangyang04/leetcode-master,"Nov 11, 2023"
huihut,interview,31000,https://github.com/huihut/interview,"Jun 20, 2023"
halfrost,LeetCode-Go,30900,https://github.com/halfrost/LeetCode-Go,"Oct 11, 2023"
TheAlgorithms,JavaScript,29600,https://github.com/TheAlgorithms/JavaScript,"Nov 10, 2023"
donnemartin,interactive-coding-challenges,28000,https://github.com/donnemartin/interactive-coding-challenges,"Sep 12, 2023"
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout,"Oct 24, 2022"
TheAlgorithms,C-Plus-Plus,26600,https://github.com/TheAlgorithms/C-Plus-Plus,"Nov 5, 2023"
keon,algorithms,23100,https://github.com/keon/algorithms,"Nov 10, 2023"
mxgmn,WaveFunctionCollapse,22000,https://github.com/mxgmn/WaveFunctionCollapse,"Oct 7, 2023"
trekhleb,homemade-machine-learning,21900,https://github.com/trekhleb/homemade-machine-learning,"Jul 21, 2023"
