Username,Repo_Name,Stars,Repo_URL,Last Update
bregman-arie,devops-exercises,59400,https://github.com/bregman-arie/devops-exercises,"Nov 7, 2023"
localstack,localstack,50000,https://github.com/localstack/localstack,"Nov 11, 2023"
serverless,serverless,45300,https://github.com/serverless/serverless,"Nov 11, 2023"
ByteByteGoHq,system-design-101,44800,https://github.com/ByteByteGoHq/system-design-101,"Nov 8, 2023"
donnemartin,data-science-ipython-notebooks,25800,https://github.com/donnemartin/data-science-ipython-notebooks,"Oct 10, 2023"
sst,sst,18200,https://github.com/sst/sst,"Nov 10, 2023"
pulumi,pulumi,18100,https://github.com/pulumi/pulumi,"Nov 11, 2023"
kubernetes-sigs,kubespray,14700,https://github.com/kubernetes-sigs/kubespray,"Nov 10, 2023"
aws,aws-cli,14400,https://github.com/aws/aws-cli,"Nov 10, 2023"
ramitsurana,awesome-kubernetes,14400,https://github.com/ramitsurana/awesome-kubernetes,"Nov 1, 2023"
getsops,sops,14100,https://github.com/getsops/sops,"Nov 9, 2023"
donnemartin,awesome-aws,11800,https://github.com/donnemartin/awesome-aws,"Oct 24, 2023"
caprover,caprover,11300,https://github.com/caprover/caprover,"Nov 10, 2023"
GoogleCloudPlatform,terraformer,11000,https://github.com/GoogleCloudPlatform/terraformer,"Nov 10, 2023"
aws,aws-cdk,10700,https://github.com/aws/aws-cdk,"Nov 11, 2023"
apereo,cas,10400,https://github.com/apereo/cas,"Nov 10, 2023"
aws,chalice,10000,https://github.com/aws/chalice,"Oct 30, 2023"
infracost,infracost,9700,https://github.com/infracost/infracost,"Nov 10, 2023"
aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js,"Nov 11, 2023"
google,go-cloud,9200,https://github.com/google/go-cloud,"Nov 1, 2023"
