Username,Repo_Name,Stars,Repo_URL,Last Update
amphp,amp,4000,https://github.com/amphp/amp,"Aug 18, 2023"
danog,MadelineProto,2500,https://github.com/danog/MadelineProto,"Nov 9, 2023"
unreal4u,telegram-api,767,https://github.com/unreal4u/telegram-api,"Sep 24, 2023"
amphp,parallel,700,https://github.com/amphp/parallel,"Nov 4, 2023"
amphp,http-client,668,https://github.com/amphp/http-client,"Oct 8, 2023"
amphp,byte-stream,348,https://github.com/amphp/byte-stream,"Sep 3, 2023"
php-service-bus,service-bus,347,https://github.com/php-service-bus/service-bus,"Apr 6, 2022"
amphp,mysql,329,https://github.com/amphp/mysql,"Oct 16, 2023"
amphp,parallel-functions,249,https://github.com/amphp/parallel-functions,"Aug 1, 2023"
amphp,process,218,https://github.com/amphp/process,"Aug 22, 2023"
amphp,socket,200,https://github.com/amphp/socket,"Aug 23, 2023"
xtrime-ru,TelegramRSS,196,https://github.com/xtrime-ru/TelegramRSS,"Nov 1, 2023"
amphp,sync,146,https://github.com/amphp/sync,"Sep 7, 2023"
amphp,redis,141,https://github.com/amphp/redis,"Oct 26, 2023"
amphp,dns,141,https://github.com/amphp/dns,"Jan 21, 2023"
amphp,websocket-client,126,https://github.com/amphp/websocket-client,"Oct 20, 2023"
kelunik,acme,121,https://github.com/kelunik/acme,"Jan 17, 2023"
amphp,websocket-server,105,https://github.com/amphp/websocket-server,"Oct 22, 2023"
amphp,serialization,100,https://github.com/amphp/serialization,"Aug 29, 2023"
amphp,cache,91,https://github.com/amphp/cache,"Jan 9, 2023"
