Username,Repo_Name,Stars,Repo_URL,Last Update
flutter,flutter,158000,https://github.com/flutter/flutter,"Nov 11, 2023"
facebook,react-native,113000,https://github.com/facebook/react-native,"Nov 11, 2023"
justjavac,free-programming-books-zh_CN,106000,https://github.com/justjavac/free-programming-books-zh_CN,"Sep 28, 2023"
Genymobile,scrcpy,93700,https://github.com/Genymobile/scrcpy,"Nov 11, 2023"
Hack-with-Github,Awesome-Hacking,71000,https://github.com/Hack-with-Github/Awesome-Hacking,"Oct 24, 2023"
Solido,awesome-flutter,49100,https://github.com/Solido/awesome-flutter,"Oct 19, 2023"
google,material-design-icons,48900,https://github.com/google/material-design-icons,"Nov 10, 2023"
wasabeef,awesome-android-ui,47800,https://github.com/wasabeef/awesome-android-ui,"Sep 20, 2023"
square,okhttp,44700,https://github.com/square/okhttp,"Nov 9, 2023"
android,architecture-samples,43300,https://github.com/android/architecture-samples,"Nov 7, 2023"
square,retrofit,42200,https://github.com/square/retrofit,"Nov 2, 2023"
laurent22,joplin,39400,https://github.com/laurent22/joplin,"Nov 11, 2023"
dcloudio,uni-app,38800,https://github.com/dcloudio/uni-app,"Nov 11, 2023"
appwrite,appwrite,37900,https://github.com/appwrite/appwrite,"Nov 10, 2023"
fastlane,fastlane,37700,https://github.com/fastlane/fastlane,"Nov 11, 2023"
skylot,jadx,37000,https://github.com/skylot/jadx,"Nov 10, 2023"
PhilJay,MPAndroidChart,36900,https://github.com/PhilJay/MPAndroidChart,"Nov 7, 2023"
airbnb,lottie-android,34300,https://github.com/airbnb/lottie-android,"Nov 7, 2023"
shadowsocks,shadowsocks-android,34200,https://github.com/shadowsocks/shadowsocks-android,"Nov 2, 2023"
bumptech,glide,34000,https://github.com/bumptech/glide,"Nov 9, 2023"
