Username,Repo_Name,Stars,Repo_URL,Last Update
justjavac,free-programming-books-zh_CN,106000,https://github.com/justjavac/free-programming-books-zh_CN,"Sep 28, 2023"
angular,angular,91900,https://github.com/angular/angular,"Nov 11, 2023"
storybookjs,storybook,80900,https://github.com/storybookjs/storybook,"Nov 10, 2023"
leonardomso,33-js-concepts,59700,https://github.com/leonardomso/33-js-concepts,"Nov 9, 2023"
ionic-team,ionic-framework,49800,https://github.com/ionic-team/ionic-framework,"Nov 10, 2023"
prettier,prettier,46900,https://github.com/prettier/prettier,"Nov 11, 2023"
Asabeneh,30-Days-Of-JavaScript,39100,https://github.com/Asabeneh/30-Days-Of-JavaScript,"Nov 9, 2023"
SheetJS,sheetjs,33800,https://github.com/SheetJS/sheetjs,"Oct 21, 2023"
angular,angular-cli,26300,https://github.com/angular/angular-cli,"Nov 11, 2023"
angular,components,23800,https://github.com/angular/components,"Nov 11, 2023"
NativeScript,NativeScript,23200,https://github.com/NativeScript/NativeScript,"Nov 9, 2023"
goldbergyoni,javascript-testing-best-practices,22500,https://github.com/goldbergyoni/javascript-testing-best-practices,"Oct 27, 2023"
jhipster,generator-jhipster,21000,https://github.com/jhipster/generator-jhipster,"Nov 11, 2023"
nrwl,nx,20200,https://github.com/nrwl/nx,"Nov 10, 2023"
pubkey,rxdb,19800,https://github.com/pubkey/rxdb,"Nov 11, 2023"
wailsapp,wails,19000,https://github.com/wailsapp/wails,"Nov 11, 2023"
sudheerj,javascript-interview-questions,18600,https://github.com/sudheerj/javascript-interview-questions,"Nov 4, 2023"
teambit,bit,17100,https://github.com/teambit/bit,"Nov 11, 2023"
sweetalert2,sweetalert2,16400,https://github.com/sweetalert2/sweetalert2,"Nov 9, 2023"
jasontaylordev,CleanArchitecture,14000,https://github.com/jasontaylordev/CleanArchitecture,"Nov 7, 2023"
