Username,Repo_Name,Stars,Repo_URL,Last Update
bregman-arie,devops-exercises,59400,https://github.com/bregman-arie/devops-exercises,"Nov 7, 2023"
ansible,ansible,59200,https://github.com/ansible/ansible,"Nov 11, 2023"
trailofbits,algo,27800,https://github.com/trailofbits/algo,"Nov 10, 2023"
MichaelCade,90DaysOfDevOps,24200,https://github.com/MichaelCade/90DaysOfDevOps,"Nov 9, 2023"
StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand,"May 4, 2021"
kubernetes-sigs,kubespray,14700,https://github.com/kubernetes-sigs/kubespray,"Nov 10, 2023"
ansible,awx,12800,https://github.com/ansible/awx,"Nov 11, 2023"
easzlab,kubeasz,9600,https://github.com/easzlab/kubeasz,"Oct 31, 2023"
ansible-semaphore,semaphore,8300,https://github.com/ansible-semaphore/semaphore,"Nov 1, 2023"
geerlingguy,ansible-for-devops,7600,https://github.com/geerlingguy/ansible-for-devops,"Nov 3, 2023"
khuedoan,homelab,7300,https://github.com/khuedoan/homelab,"Nov 5, 2023"
Tikam02,DevOps-Guide,7200,https://github.com/Tikam02/DevOps-Guide,"Oct 31, 2023"
geerlingguy,mac-dev-playbook,5600,https://github.com/geerlingguy/mac-dev-playbook,"Sep 30, 2023"
rundeck,rundeck,5100,https://github.com/rundeck/rundeck,"Nov 10, 2023"
KubeOperator,KubeOperator,4800,https://github.com/KubeOperator/KubeOperator,"Nov 10, 2023"
netbootxyz,netboot.xyz,4700,https://github.com/netbootxyz/netboot.xyz,"Nov 11, 2023"
clong,DetectionLab,4300,https://github.com/clong/DetectionLab,"Mar 27, 2023"
ansible,molecule,3700,https://github.com/ansible/molecule,"Nov 6, 2023"
opendevops-cn,opendevops,3500,https://github.com/opendevops-cn/opendevops,"Mar 6, 2023"
dev-sec,ansible-collection-hardening,3400,https://github.com/dev-sec/ansible-collection-hardening,"Nov 11, 2023"
