Username,Repo_Name,Stars,Repo_URL,Last Update
arendst,Tasmota,20600,https://github.com/arendst/Tasmota,"Nov 11, 2023"
MarlinFirmware,Marlin,15400,https://github.com/MarlinFirmware/Marlin,"Nov 11, 2023"
arduino,Arduino,13800,https://github.com/arduino/Arduino,"Aug 27, 2023"
tinygo-org,tinygo,13600,https://github.com/tinygo-org/tinygo,"Nov 11, 2023"
rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five,"Oct 24, 2023"
SpacehuhnTech,esp8266_deauther,12300,https://github.com/SpacehuhnTech/esp8266_deauther,"Sep 17, 2023"
espressif,arduino-esp32,11600,https://github.com/espressif/arduino-esp32,"Nov 11, 2023"
gurugio,lowlevelprogramming-university,9000,https://github.com/gurugio/lowlevelprogramming-university,"Nov 2, 2023"
hybridgroup,gobot,8500,https://github.com/hybridgroup/gobot,"Nov 11, 2023"
platformio,platformio-core,7100,https://github.com/platformio/platformio-core,"Oct 29, 2023"
bblanchon,ArduinoJson,6300,https://github.com/bblanchon/ArduinoJson,"Nov 6, 2023"
tzapu,WiFiManager,6100,https://github.com/tzapu/WiFiManager,"Nov 7, 2023"
olikraus,u8g2,4300,https://github.com/olikraus/u8g2,"Nov 8, 2023"
ClemensElflein,OpenMower,4100,https://github.com/ClemensElflein/OpenMower,"Nov 8, 2023"
Arduino-IRremote,Arduino-IRremote,4100,https://github.com/Arduino-IRremote/Arduino-IRremote,"Nov 2, 2023"
arduino,arduino-cli,4000,https://github.com/arduino/arduino-cli,"Nov 10, 2023"
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon,"Oct 2, 2020"
Serial-Studio,Serial-Studio,3700,https://github.com/Serial-Studio/Serial-Studio,"Oct 11, 2023"
blynkkk,blynk-library,3700,https://github.com/blynkkk/blynk-library,"Oct 23, 2023"
NerdLang,nerd,3500,https://github.com/NerdLang/nerd,"Jan 25, 2023"
