Username,Repo_Name,Stars,Repo_URL,Last Update
atom,atom,59700,https://github.com/atom/atom,"Jan 3, 2023"
miniflux,v2,5600,https://github.com/miniflux/v2,"Nov 10, 2023"
themerdev,themer,5300,https://github.com/themerdev/themer,"Jun 24, 2023"
shd101wyy,markdown-preview-enhanced,4000,https://github.com/shd101wyy/markdown-preview-enhanced,"Oct 14, 2023"
nteract,hydrogen,3900,https://github.com/nteract/hydrogen,"Nov 8, 2023"
atom,teletype,2400,https://github.com/atom/teletype,"Mar 13, 2023"
mmcdole,gofeed,2300,https://github.com/mmcdole/gofeed,"Oct 6, 2023"
NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig,"May 18, 2023"
feeddd,feeds,2000,https://github.com/feeddd/feeds,"Jul 5, 2023"
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom,"Jan 28, 2019"
kurtmckee,feedparser,1700,https://github.com/kurtmckee/feedparser,"Nov 7, 2023"
ocaml,merlin,1500,https://github.com/ocaml/merlin,"Nov 10, 2023"
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus,"May 4, 2021"
simplepie,simplepie,1500,https://github.com/simplepie/simplepie,"Nov 6, 2023"
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify,"Jun 22, 2023"
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus,"Oct 7, 2021"
MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython,"Feb 23, 2023"
fwcd,kotlin-language-server,1300,https://github.com/fwcd/kotlin-language-server,"Nov 6, 2023"
file-icons,atom,1300,https://github.com/file-icons/atom,"Jul 15, 2023"
atom,apm,1300,https://github.com/atom/apm,"Sep 28, 2022"
