Username,Repo_Name,Stars,Repo_URL,Last Update
sindresorhus,awesome,277000,https://github.com/sindresorhus/awesome,"Nov 10, 2023"
vinta,awesome-python,186000,https://github.com/vinta/awesome-python,"Nov 8, 2023"
awesome-selfhosted,awesome-selfhosted,155000,https://github.com/awesome-selfhosted/awesome-selfhosted,"Nov 9, 2023"
trimstray,the-book-of-secret-knowledge,112000,https://github.com/trimstray/the-book-of-secret-knowledge,"Oct 22, 2023"
avelino,awesome-go,111000,https://github.com/avelino/awesome-go,"Nov 10, 2023"
521xueweihan,HelloGitHub,77800,https://github.com/521xueweihan/HelloGitHub,"Nov 5, 2023"
papers-we-love,papers-we-love,77600,https://github.com/papers-we-love/papers-we-love,"Oct 5, 2023"
Hack-with-Github,Awesome-Hacking,71000,https://github.com/Hack-with-Github/Awesome-Hacking,"Oct 24, 2023"
jaywcjlove,awesome-mac,64900,https://github.com/jaywcjlove/awesome-mac,"Nov 10, 2023"
enaqx,awesome-react,59100,https://github.com/enaqx/awesome-react,"Nov 4, 2023"
DopplerHQ,awesome-interview-questions,59000,https://github.com/DopplerHQ/awesome-interview-questions,"Oct 5, 2023"
MunGell,awesome-for-beginners,58200,https://github.com/MunGell/awesome-for-beginners,"Oct 27, 2023"
sindresorhus,awesome-nodejs,53400,https://github.com/sindresorhus/awesome-nodejs,"Nov 10, 2023"
fffaraz,awesome-cpp,50300,https://github.com/fffaraz/awesome-cpp,"Nov 10, 2023"
prakhar1989,awesome-courses,50100,https://github.com/prakhar1989/awesome-courses,"May 4, 2023"
Solido,awesome-flutter,49100,https://github.com/Solido/awesome-flutter,"Oct 19, 2023"
binhnguyennus,awesome-scalability,49100,https://github.com/binhnguyennus/awesome-scalability,"Nov 5, 2023"
wasabeef,awesome-android-ui,47800,https://github.com/wasabeef/awesome-android-ui,"Sep 20, 2023"
vsouza,awesome-ios,44300,https://github.com/vsouza/awesome-ios,"Oct 31, 2023"
tiimgreen,github-cheat-sheet,43100,https://github.com/tiimgreen/github-cheat-sheet,"Oct 15, 2023"
