Username,Repo_Name,Stars,Repo_URL,Last Update
bregman-arie,devops-exercises,59400,https://github.com/bregman-arie/devops-exercises,"Nov 7, 2023"
pulumi,pulumi,18100,https://github.com/pulumi/pulumi,"Nov 11, 2023"
recommenders-team,recommenders,16700,https://github.com/recommenders-team/recommenders,"Nov 7, 2023"
ramitsurana,awesome-kubernetes,14400,https://github.com/ramitsurana/awesome-kubernetes,"Nov 1, 2023"
getsops,sops,14100,https://github.com/getsops/sops,"Nov 9, 2023"
Azure,azure-quickstart-templates,13300,https://github.com/Azure/azure-quickstart-templates,"Nov 9, 2023"
caprover,caprover,11300,https://github.com/caprover/caprover,"Nov 10, 2023"
infracost,infracost,9700,https://github.com/infracost/infracost,"Nov 10, 2023"
google,go-cloud,9200,https://github.com/google/go-cloud,"Nov 1, 2023"
microsoft,computervision-recipes,9200,https://github.com/microsoft/computervision-recipes,"Oct 18, 2023"
prowler-cloud,prowler,8800,https://github.com/prowler-cloud/prowler,"Nov 10, 2023"
microsoft,azuredatastudio,7300,https://github.com/microsoft/azuredatastudio,"Nov 11, 2023"
Netflix,metaflow,7100,https://github.com/Netflix/metaflow,"Nov 9, 2023"
midwayjs,midway,6900,https://github.com/midwayjs/midway,"Nov 11, 2023"
node-formidable,formidable,6800,https://github.com/node-formidable/formidable,"Aug 25, 2023"
thangchung,clean-code-dotnet,6500,https://github.com/thangchung/clean-code-dotnet,"Aug 20, 2023"
milanm,DevOps-Roadmap,6400,https://github.com/milanm/DevOps-Roadmap,"Oct 30, 2023"
budtmo,docker-android,6400,https://github.com/budtmo/docker-android,"Oct 4, 2023"
aquasecurity,tfsec,6300,https://github.com/aquasecurity/tfsec,"Nov 6, 2023"
bridgecrewio,checkov,6100,https://github.com/bridgecrewio/checkov,"Nov 11, 2023"
