Username,Repo_Name,Stars,Repo_URL,Last Update
jlevy,the-art-of-command-line,141000,https://github.com/jlevy/the-art-of-command-line,"Oct 27, 2023"
nvm-sh,nvm,71400,https://github.com/nvm-sh/nvm,"Nov 3, 2023"
junegunn,fzf,55300,https://github.com/junegunn/fzf,"Nov 10, 2023"
google,zx,38900,https://github.com/google/zx,"Oct 30, 2023"
starship,starship,37500,https://github.com/starship/starship,"Nov 11, 2023"
dylanaraps,pure-bash-bible,35000,https://github.com/dylanaraps/pure-bash-bible,"Jun 15, 2023"
LeCoupa,awesome-cheatsheets,35000,https://github.com/LeCoupa/awesome-cheatsheets,"Nov 7, 2023"
acmesh-official,acme.sh,33700,https://github.com/acmesh-official/acme.sh,"Nov 10, 2023"
koalaman,shellcheck,33600,https://github.com/koalaman/shellcheck,"Nov 8, 2023"
mathiasbynens,dotfiles,29400,https://github.com/mathiasbynens/dotfiles,"Nov 6, 2023"
alebcay,awesome-shell,29100,https://github.com/alebcay/awesome-shell,"Nov 5, 2023"
jaywcjlove,linux-command,25600,https://github.com/jaywcjlove/linux-command,"Nov 4, 2023"
withfig,autocomplete,23400,https://github.com/withfig/autocomplete,"Nov 11, 2023"
dylanaraps,neofetch,19100,https://github.com/dylanaraps/neofetch,"Nov 11, 2023"
asdf-vm,asdf,19000,https://github.com/asdf-vm/asdf,"Nov 10, 2023"
Nyr,openvpn-install,17700,https://github.com/Nyr/openvpn-install,"Nov 8, 2023"
kingToolbox,WindTerm,17400,https://github.com/kingToolbox/WindTerm,"Jul 21, 2023"
warpdotdev,Warp,15800,https://github.com/warpdotdev/Warp,"Oct 31, 2023"
rbenv,rbenv,15400,https://github.com/rbenv/rbenv,"Oct 19, 2023"
charmbracelet,gum,15100,https://github.com/charmbracelet/gum,"Nov 8, 2023"
