Username,Repo_Name,Stars,Repo_URL,Last Update
bitcoin,bitcoin,72100,https://github.com/bitcoin/bitcoin,"Nov 11, 2023"
ccxt,ccxt,29600,https://github.com/ccxt/ccxt,"Nov 11, 2023"
freqtrade,freqtrade,23300,https://github.com/freqtrade/freqtrade,"Nov 11, 2023"
HelloZeroNet,ZeroNet,18000,https://github.com/HelloZeroNet/ZeroNet,"Sep 4, 2023"
solana-labs,solana,10800,https://github.com/solana-labs/solana,"Nov 11, 2023"
bbfamily,abu,10600,https://github.com/bbfamily/abu,"Oct 25, 2023"
askmike,gekko,10000,https://github.com/askmike/gekko,"Feb 16, 2020"
dvf,blockchain,7500,https://github.com/dvf/blockchain,"Jan 4, 2023"
lightningnetwork,lnd,7200,https://github.com/lightningnetwork/lnd,"Nov 11, 2023"
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk,"Jun 28, 2023"
spesmilo,electrum,6700,https://github.com/spesmilo/electrum,"Nov 11, 2023"
yeasy,blockchain_guide,6600,https://github.com/yeasy/blockchain_guide,"Sep 9, 2023"
butor,blackbird,5800,https://github.com/butor/blackbird,"Jul 28, 2022"
btcsuite,btcd,5500,https://github.com/btcsuite/btcd,"Nov 9, 2023"
btcpayserver,btcpayserver,5500,https://github.com/btcpayserver/btcpayserver,"Nov 11, 2023"
bitcoinjs,bitcoinjs-lib,5200,https://github.com/bitcoinjs/bitcoinjs-lib,"Nov 5, 2023"
getumbrel,umbrel,5200,https://github.com/getumbrel/umbrel,"Nov 7, 2023"
anders94,blockchain-demo,4900,https://github.com/anders94/blockchain-demo,"Feb 1, 2023"
jesse-ai,jesse,4900,https://github.com/jesse-ai/jesse,"Oct 31, 2023"
UFund-Me,Qbot,4800,https://github.com/UFund-Me/Qbot,"Oct 10, 2023"
