Username,Repo_Name,Stars,Repo_URL,Last Update
ccxt,ccxt,29600,https://github.com/ccxt/ccxt,"Nov 11, 2023"
discordjs,discord.js,24100,https://github.com/discordjs/discord.js,"Nov 11, 2023"
python-telegram-bot,python-telegram-bot,23500,https://github.com/python-telegram-bot/python-telegram-bot,"Nov 11, 2023"
wechaty,wechaty,17600,https://github.com/wechaty/wechaty,"Oct 31, 2023"
RasaHQ,rasa,17200,https://github.com/RasaHQ/rasa,"Nov 8, 2023"
hubotio,hubot,16500,https://github.com/hubotio/hubot,"Nov 9, 2023"
InstaPy,InstaPy,15900,https://github.com/InstaPy/InstaPy,"Oct 11, 2023"
leon-ai,leon,13700,https://github.com/leon-ai/leon,"Oct 16, 2023"
Rapptz,discord.py,13700,https://github.com/Rapptz/discord.py,"Nov 9, 2023"
gunthercox,ChatterBot,13700,https://github.com/gunthercox/ChatterBot,"Nov 3, 2023"
tgbot-collection,YYeTsBot,13200,https://github.com/tgbot-collection/YYeTsBot,"Oct 27, 2023"
pedroslopez,whatsapp-web.js,12300,https://github.com/pedroslopez/whatsapp-web.js,"Nov 10, 2023"
howdyai,botkit,11200,https://github.com/howdyai/botkit,"Jun 21, 2023"
lss233,chatgpt-mirai-qq-bot,10100,https://github.com/lss233/chatgpt-mirai-qq-bot,"Oct 14, 2023"
Mrs4s,go-cqhttp,9900,https://github.com/Mrs4s/go-cqhttp,"Nov 2, 2023"
sfyc23,EverydayWechat,9700,https://github.com/sfyc23/EverydayWechat,"Jun 22, 2021"
yagop,node-telegram-bot-api,7500,https://github.com/yagop/node-telegram-bot-api,"Nov 1, 2023"
microsoft,ailab,7500,https://github.com/microsoft/ailab,"Jul 7, 2023"
microsoft,botframework-sdk,7200,https://github.com/microsoft/botframework-sdk,"Oct 30, 2023"
telegraf,telegraf,7200,https://github.com/telegraf/telegraf,"Oct 23, 2023"
