Username,Repo_Name,Stars,Repo_URL,Last Update
CyC2018,CS-Notes,168000,https://github.com/CyC2018/CS-Notes,"Nov 9, 2023"
practical-tutorials,project-based-learning,120000,https://github.com/practical-tutorials/project-based-learning,"Nov 7, 2023"
azl397985856,leetcode,52800,https://github.com/azl397985856/leetcode,"Oct 31, 2023"
fffaraz,awesome-cpp,50300,https://github.com/fffaraz/awesome-cpp,"Nov 10, 2023"
youngyangyang04,leetcode-master,43200,https://github.com/youngyangyang04/leetcode-master,"Nov 11, 2023"
x64dbg,x64dbg,42000,https://github.com/x64dbg/x64dbg,"Nov 8, 2023"
yuzu-emu,yuzu,31600,https://github.com/yuzu-emu/yuzu,"Nov 11, 2023"
carbon-language,carbon-lang,31500,https://github.com/carbon-language/carbon-lang,"Nov 11, 2023"
huihut,interview,31000,https://github.com/huihut/interview,"Jun 20, 2023"
CMU-Perceptual-Computing-Lab,openpose,28600,https://github.com/CMU-Perceptual-Computing-Lab/openpose,"Oct 17, 2023"
microsoft,calculator,28000,https://github.com/microsoft/calculator,"Nov 8, 2023"
TheAlgorithms,C-Plus-Plus,26600,https://github.com/TheAlgorithms/C-Plus-Plus,"Nov 5, 2023"
doocs,leetcode,25600,https://github.com/doocs/leetcode,"Nov 11, 2023"
changkun,modern-cpp-tutorial,22100,https://github.com/changkun/modern-cpp-tutorial,"Oct 30, 2023"
dragonflydb,dragonfly,21600,https://github.com/dragonflydb/dragonfly,"Nov 10, 2023"
ethereum,solidity,21200,https://github.com/ethereum/solidity,"Nov 11, 2023"
gabime,spdlog,20500,https://github.com/gabime/spdlog,"Nov 9, 2023"
microsoft,vcpkg,20100,https://github.com/microsoft/vcpkg,"Nov 11, 2023"
ssloy,tinyrenderer,18300,https://github.com/ssloy/tinyrenderer,"Nov 9, 2023"
AnthonyCalandra,modern-cpp-features,17900,https://github.com/AnthonyCalandra/modern-cpp-features,"Oct 25, 2023"
