Username,Repo_Name,Stars,Repo_URL,Last Update
Genymobile,scrcpy,93700,https://github.com/Genymobile/scrcpy,"Nov 11, 2023"
neovim,neovim,70800,https://github.com/neovim/neovim,"Nov 11, 2023"
obsproject,obs-studio,51600,https://github.com/obsproject/obs-studio,"Nov 11, 2023"
fffaraz,awesome-cpp,50300,https://github.com/fffaraz/awesome-cpp,"Nov 10, 2023"
git,git,47900,https://github.com/git/git,"Nov 11, 2023"
FFmpeg,FFmpeg,39300,https://github.com/FFmpeg/FFmpeg,"Nov 11, 2023"
serhii-londar,open-source-mac-os-apps,37500,https://github.com/serhii-londar/open-source-mac-os-apps,"Nov 7, 2023"
vim,vim,33400,https://github.com/vim/vim,"Nov 11, 2023"
curl,curl,32400,https://github.com/curl/curl,"Nov 11, 2023"
huihut,interview,31000,https://github.com/huihut/interview,"Jun 20, 2023"
ggreer,the_silver_searcher,25300,https://github.com/ggreer/the_silver_searcher,"Jul 20, 2023"
mpv-player,mpv,24000,https://github.com/mpv-player/mpv,"Nov 11, 2023"
ossrs,srs,23000,https://github.com/ossrs/srs,"Nov 10, 2023"
google,flatbuffers,21300,https://github.com/google/flatbuffers,"Nov 11, 2023"
ruby,ruby,20900,https://github.com/ruby/ruby,"Nov 11, 2023"
kovidgoyal,kitty,20300,https://github.com/kovidgoyal/kitty,"Nov 11, 2023"
microsoft,vcpkg,20100,https://github.com/microsoft/vcpkg,"Nov 11, 2023"
radareorg,radare2,18800,https://github.com/radareorg/radare2,"Nov 11, 2023"
hashcat,hashcat,18600,https://github.com/hashcat/hashcat,"Nov 9, 2023"
jarun,nnn,17300,https://github.com/jarun/nnn,"Nov 3, 2023"
