Username,Repo_Name,Stars,Repo_URL,Last Update
CSSEGISandData,COVID-19,29200,https://github.com/CSSEGISandData/COVID-19,"Jun 10, 2023"
nytimes,covid-19-data,7000,https://github.com/nytimes/covid-19-data,"Sep 2, 2023"
covid19india,covid19india-react,6900,https://github.com/covid19india/covid19india-react,"Dec 2, 2021"
Tokyo-Metro-Gov,covid19,6300,https://github.com/Tokyo-Metro-Gov/covid19,"Jun 1, 2023"
owid,covid-19-data,5600,https://github.com/owid/covid-19-data,"Nov 11, 2023"
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19,"Nov 10, 2023"
ieee8023,covid-chestxray-dataset,2900,https://github.com/ieee8023/covid-chestxray-dataset,"Aug 18, 2022"
geohot,corona,2400,https://github.com/geohot/corona,"Nov 6, 2023"
disease-sh,API,2400,https://github.com/disease-sh/API,"Nov 10, 2023"
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app,"Jul 28, 2023"
corona-warn-app,cwa-server,1900,https://github.com/corona-warn-app/cwa-server,"May 10, 2023"
ahmadawais,corona-cli,1900,https://github.com/ahmadawais/corona-cli,"Apr 1, 2022"
github,covid19-dashboard,1600,https://github.com/github/covid19-dashboard,"Oct 24, 2023"
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api,"Feb 14, 2023"
soroushchehresa,awesome-coronavirus,1500,https://github.com/soroushchehresa/awesome-coronavirus,"Mar 16, 2023"
mhdhejazi,CoronaTracker,1500,https://github.com/mhdhejazi/CoronaTracker,"Mar 8, 2023"
cirosantilli,china-dictatorship,1500,https://github.com/cirosantilli/china-dictatorship,"Nov 2, 2023"
chandrikadeb7,Face-Mask-Detection,1500,https://github.com/chandrikadeb7/Face-Mask-Detection,"Mar 21, 2023"
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios,"Feb 15, 2022"
chrismattmann,tika-python,1400,https://github.com/chrismattmann/tika-python,"Aug 11, 2023"
