Username,Repo_Name,Stars,Repo_URL,Last Update
iamadamdev,bypass-paywalls-chrome,43000,https://github.com/iamadamdev/bypass-paywalls-chrome,"Oct 20, 2023"
jaywcjlove,linux-command,25600,https://github.com/jaywcjlove/linux-command,"Nov 4, 2023"
refined-github,refined-github,22100,https://github.com/refined-github/refined-github,"Nov 10, 2023"
openai-translator,openai-translator,18800,https://github.com/openai-translator/openai-translator,"Nov 9, 2023"
darkreader,darkreader,17600,https://github.com/darkreader/darkreader,"Nov 11, 2023"
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder,"Dec 16, 2022"
dailydotdev,daily,14500,https://github.com/dailydotdev/daily,"Oct 5, 2023"
unbug,codelf,13800,https://github.com/unbug/codelf,"Apr 24, 2023"
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension,"Oct 25, 2023"
gildas-lormeau,SingleFile,12400,https://github.com/gildas-lormeau/SingleFile,"Nov 10, 2023"
immersive-translate,immersive-translate,11900,https://github.com/immersive-translate/immersive-translate,"Nov 10, 2023"
Anarios,return-youtube-dislike,11800,https://github.com/Anarios/return-youtube-dislike,"Nov 5, 2023"
crimx,ext-saladict,11200,https://github.com/crimx/ext-saladict,"Nov 10, 2023"
listen1,listen1_chrome_extension,10700,https://github.com/listen1/listen1_chrome_extension,"Oct 4, 2023"
josStorer,chatGPTBox,8900,https://github.com/josStorer/chatGPTBox,"Nov 8, 2023"
alyssaxuu,screenity,8800,https://github.com/alyssaxuu/screenity,"Nov 6, 2023"
AutomaApp,automa,8500,https://github.com/AutomaApp/automa,"Nov 11, 2023"
chathub-dev,chathub,8500,https://github.com/chathub-dev/chathub,"Nov 9, 2023"
appbaseio,dejavu,8200,https://github.com/appbaseio/dejavu,"Oct 27, 2023"
ajayyy,SponsorBlock,7900,https://github.com/ajayyy/SponsorBlock,"Nov 10, 2023"
