Username,Repo_Name,Stars,Repo_URL,Last Update
electron,electron,110000,https://github.com/electron/electron,"Nov 11, 2023"
puppeteer,puppeteer,85000,https://github.com/puppeteer/puppeteer,"Nov 10, 2023"
microsoft,playwright,56500,https://github.com/microsoft/playwright,"Nov 11, 2023"
FiloSottile,mkcert,43400,https://github.com/FiloSottile/mkcert,"Nov 3, 2023"
iamadamdev,bypass-paywalls-chrome,43000,https://github.com/iamadamdev/bypass-paywalls-chrome,"Oct 20, 2023"
jaywcjlove,linux-command,25600,https://github.com/jaywcjlove/linux-command,"Nov 4, 2023"
ovity,octotree,22600,https://github.com/ovity/octotree,"Sep 30, 2023"
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare,"Oct 5, 2023"
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder,"Dec 16, 2022"
google,WebFundamentals,13800,https://github.com/google/WebFundamentals,"Aug 10, 2022"
GoogleChrome,chrome-extensions-samples,13300,https://github.com/GoogleChrome/chrome-extensions-samples,"Nov 9, 2023"
schickling,chromeless,13200,https://github.com/schickling/chromeless,"Nov 13, 2018"
gildas-lormeau,SingleFile,12400,https://github.com/gildas-lormeau/SingleFile,"Nov 10, 2023"
casesandberg,react-color,11600,https://github.com/casesandberg/react-color,"Jun 26, 2023"
crimx,ext-saladict,11200,https://github.com/crimx/ext-saladict,"Nov 10, 2023"
MetaMask,metamask-extension,10800,https://github.com/MetaMask/metamask-extension,"Nov 11, 2023"
chromedp,chromedp,9700,https://github.com/chromedp/chromedp,"Oct 27, 2023"
moonD4rk,HackBrowserData,9000,https://github.com/moonD4rk/HackBrowserData,"Nov 7, 2023"
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock,"Sep 8, 2022"
ajayyy,SponsorBlock,7900,https://github.com/ajayyy/SponsorBlock,"Nov 10, 2023"
