Username,Repo_Name,Stars,Repo_URL,Last Update
metabase,metabase,34800,https://github.com/metabase/metabase,"Nov 11, 2023"
logseq,logseq,26400,https://github.com/logseq/logseq,"Nov 11, 2023"
penpot,penpot,24200,https://github.com/penpot/penpot,"Nov 11, 2023"
deeplearning4j,deeplearning4j,13200,https://github.com/deeplearning4j/deeplearning4j,"Nov 9, 2023"
LightTable,LightTable,11700,https://github.com/LightTable/LightTable,"Jun 17, 2022"
kanaka,mal,9600,https://github.com/kanaka/mal,"Oct 24, 2023"
lk-geimfari,awesomo,9100,https://github.com/lk-geimfari/awesomo,"Oct 21, 2023"
tonsky,datascript,5200,https://github.com/tonsky/datascript,"Oct 24, 2023"
reagent-project,reagent,4700,https://github.com/reagent-project/reagent,"Aug 9, 2023"
riemann,riemann,4200,https://github.com/riemann/riemann,"Oct 30, 2023"
izhangzhihao,intellij-rainbow-brackets,4200,https://github.com/izhangzhihao/intellij-rainbow-brackets,"Nov 10, 2023"
weavejester,compojure,4000,https://github.com/weavejester/compojure,"May 7, 2023"
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide,"Apr 15, 2023"
status-im,status-mobile,3700,https://github.com/status-im/status-mobile,"Nov 11, 2023"
ring-clojure,ring,3600,https://github.com/ring-clojure/ring,"Nov 6, 2023"
babashka,babashka,3600,https://github.com/babashka/babashka,"Nov 2, 2023"
clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider,"Nov 10, 2023"
defold,defold,3300,https://github.com/defold/defold,"Nov 10, 2023"
viebel,klipse,3100,https://github.com/viebel/klipse,"Oct 7, 2022"
tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub,"May 21, 2023"
