Username,Repo_Name,Stars,Repo_URL,Last Update
realm,SwiftLint,17900,https://github.com/realm/SwiftLint,"Nov 11, 2023"
facebook,infer,14400,https://github.com/facebook/infer,"Nov 10, 2023"
analysis-tools-dev,static-analysis,12300,https://github.com/analysis-tools-dev/static-analysis,"Nov 10, 2023"
Kristories,awesome-guidelines,9100,https://github.com/Kristories/awesome-guidelines,"Oct 21, 2023"
SonarSource,sonarqube,8200,https://github.com/SonarSource/sonarqube,"Nov 10, 2023"
checkstyle,checkstyle,7900,https://github.com/checkstyle/checkstyle,"Nov 11, 2023"
reviewdog,reviewdog,6800,https://github.com/reviewdog/reviewdog,"Nov 11, 2023"
facebook,pyre-check,6500,https://github.com/facebook/pyre-check,"Nov 10, 2023"
detekt,detekt,5800,https://github.com/detekt/detekt,"Nov 10, 2023"
import-js,eslint-plugin-import,5100,https://github.com/import-js/eslint-plugin-import,"Nov 10, 2023"
trekhleb,state-of-the-art-shitcode,5000,https://github.com/trekhleb/state-of-the-art-shitcode,"Oct 22, 2023"
pylint-dev,pylint,4900,https://github.com/pylint-dev/pylint,"Nov 10, 2023"
simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov,"Nov 5, 2023"
pmd,pmd,4500,https://github.com/pmd/pmd,"Nov 10, 2023"
phpro,grumphp,4000,https://github.com/phpro/grumphp,"Oct 27, 2023"
kucherenko,jscpd,3300,https://github.com/kucherenko/jscpd,"Nov 2, 2023"
htmlhint,HTMLHint,3000,https://github.com/htmlhint/HTMLHint,"Nov 1, 2023"
codeclimate,codeclimate,2400,https://github.com/codeclimate/codeclimate,"Sep 26, 2023"
wemake-services,wemake-python-styleguide,2300,https://github.com/wemake-services/wemake-python-styleguide,"Nov 10, 2023"
uber,piranha,2200,https://github.com/uber/piranha,"Nov 9, 2023"
