Username,Repo_Name,Stars,Repo_URL,Last Update
ovity,octotree,22600,https://github.com/ovity/octotree,"Sep 30, 2023"
gitpod-io,gitpod,11700,https://github.com/gitpod-io/gitpod,"Nov 11, 2023"
reviewdog,reviewdog,6800,https://github.com/reviewdog/reviewdog,"Nov 11, 2023"
danger,danger,5300,https://github.com/danger/danger,"Oct 27, 2023"
danger,danger-js,5100,https://github.com/danger/danger-js,"Nov 2, 2023"
joho,awesome-code-review,4100,https://github.com/joho/awesome-code-review,"Apr 6, 2023"
Codium-ai,pr-agent,2600,https://github.com/Codium-ai/pr-agent,"Nov 10, 2023"
ajinabraham,nodejsscan,2300,https://github.com/ajinabraham/nodejsscan,"Oct 18, 2023"
microsoft,vscode-pull-request-github,2100,https://github.com/microsoft/vscode-pull-request-github,"Nov 10, 2023"
houndci,hound,1900,https://github.com/houndci/hound,"Jun 26, 2023"
crev-dev,cargo-crev,1900,https://github.com/crev-dev/cargo-crev,"Nov 7, 2023"
mbj,mutant,1900,https://github.com/mbj/mutant,"Nov 5, 2023"
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard,"Nov 8, 2023"
Tencent,CodeAnalysis,1500,https://github.com/Tencent/CodeAnalysis,"Nov 11, 2023"
ryanmcdermott,code-review-tips,1400,https://github.com/ryanmcdermott/code-review-tips,"Feb 27, 2023"
bit4woo,python_sec,1200,https://github.com/bit4woo/python_sec,"Aug 6, 2020"
code-review-checklists,java-concurrency,1200,https://github.com/code-review-checklists/java-concurrency,"Nov 7, 2020"
coderabbitai,ai-pr-reviewer,1000,https://github.com/coderabbitai/ai-pr-reviewer,"Nov 7, 2023"
mattzcarey,code-review-gpt,945,https://github.com/mattzcarey/code-review-gpt,"Nov 11, 2023"
TeamCodeStream,codestream,912,https://github.com/TeamCodeStream/codestream,"Nov 10, 2023"
