Username,Repo_Name,Stars,Repo_URL,Last Update
ohmyzsh,ohmyzsh,164000,https://github.com/ohmyzsh/ohmyzsh,"Nov 9, 2023"
junegunn,fzf,55300,https://github.com/junegunn/fzf,"Nov 10, 2023"
sherlock-project,sherlock,44300,https://github.com/sherlock-project/sherlock,"Nov 10, 2023"
sharkdp,bat,43800,https://github.com/sharkdp/bat,"Nov 10, 2023"
BurntSushi,ripgrep,41000,https://github.com/BurntSushi/ripgrep,"Nov 5, 2023"
jesseduffield,lazygit,40000,https://github.com/jesseduffield/lazygit,"Nov 10, 2023"
wagoodman,dive,39300,https://github.com/wagoodman/dive,"Nov 4, 2023"
google,zx,38900,https://github.com/google/zx,"Oct 30, 2023"
chubin,cheat.sh,36300,https://github.com/chubin/cheat.sh,"Jun 16, 2023"
n8n-io,n8n,34900,https://github.com/n8n-io/n8n,"Nov 10, 2023"
spf13,cobra,34100,https://github.com/spf13/cobra,"Nov 6, 2023"
cli,cli,33700,https://github.com/cli/cli,"Nov 9, 2023"
httpie,cli,30100,https://github.com/httpie/cli,"Oct 24, 2023"
sharkdp,fd,29400,https://github.com/sharkdp/fd,"Nov 8, 2023"
alebcay,awesome-shell,29100,https://github.com/alebcay/awesome-shell,"Nov 5, 2023"
ibraheemdev,modern-unix,28500,https://github.com/ibraheemdev/modern-unix,"Oct 3, 2023"
acheong08,ChatGPT,27500,https://github.com/acheong08/ChatGPT,"Aug 2, 2023"
angular,angular-cli,26300,https://github.com/angular/angular-cli,"Nov 11, 2023"
tqdm,tqdm,26200,https://github.com/tqdm/tqdm,"Nov 7, 2023"
google,python-fire,25500,https://github.com/google/python-fire,"Oct 8, 2023"
