Username,Repo_Name,Stars,Repo_URL,Last Update
vercel,next.js,114000,https://github.com/vercel/next.js,"Nov 11, 2023"
rust-lang,rust,86900,https://github.com/rust-lang/rust,"Nov 11, 2023"
sveltejs,svelte,73500,https://github.com/sveltejs/svelte,"Nov 11, 2023"
webpack,webpack,63600,https://github.com/webpack/webpack,"Nov 10, 2023"
gatsbyjs,gatsby,54800,https://github.com/gatsbyjs/gatsby,"Nov 10, 2023"
JetBrains,kotlin,46200,https://github.com/JetBrains/kotlin,"Nov 11, 2023"
parcel-bundler,parcel,42800,https://github.com/parcel-bundler/parcel,"Nov 11, 2023"
babel,babel,42600,https://github.com/babel/babel,"Nov 11, 2023"
evanw,esbuild,36300,https://github.com/evanw/esbuild,"Nov 11, 2023"
vlang,v,34800,https://github.com/vlang/v,"Nov 11, 2023"
FuelLabs,sway,32100,https://github.com/FuelLabs/sway,"Nov 11, 2023"
carbon-language,carbon-lang,31500,https://github.com/carbon-language/carbon-lang,"Nov 11, 2023"
markedjs,marked,30900,https://github.com/markedjs/marked,"Nov 11, 2023"
swc-project,swc,28900,https://github.com/swc-project/swc,"Nov 11, 2023"
ziglang,zig,26900,https://github.com/ziglang/zig,"Nov 11, 2023"
vercel,pkg,23900,https://github.com/vercel/pkg,"Nov 8, 2023"
typst,typst,22400,https://github.com/typst/typst,"Nov 11, 2023"
v8,v8,21900,https://github.com/v8/v8,"Oct 28, 2023"
oracle,graal,19200,https://github.com/oracle/graal,"Nov 11, 2023"
AssemblyScript,assemblyscript,16000,https://github.com/AssemblyScript/assemblyscript,"Nov 10, 2023"
