Username,Repo_Name,Stars,Repo_URL,Last Update
localstack,localstack,50000,https://github.com/localstack/localstack,"Nov 11, 2023"
harness,gitness,30500,https://github.com/harness/gitness,"Nov 11, 2023"
jenkinsci,jenkins,21600,https://github.com/jenkinsci/jenkins,"Nov 10, 2023"
auchenberg,volkswagen,12800,https://github.com/auchenberg/volkswagen,"Apr 19, 2023"
theonedev,onedev,12000,https://github.com/theonedev/onedev,"Nov 8, 2023"
dagger,dagger,9200,https://github.com/dagger/dagger,"Nov 10, 2023"
openshift,origin,8400,https://github.com/openshift/origin,"Nov 10, 2023"
concourse,concourse,7000,https://github.com/concourse/concourse,"Oct 30, 2023"
gocd,gocd,6900,https://github.com/gocd/gocd,"Nov 9, 2023"
milanm,DevOps-Roadmap,6400,https://github.com/milanm/DevOps-Roadmap,"Oct 30, 2023"
gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia,"Aug 22, 2023"
buildbot,buildbot,5100,https://github.com/buildbot/buildbot,"Nov 11, 2023"
Strider-CD,strider,4600,https://github.com/Strider-CD/strider,"Jan 17, 2022"
jenkins-x,jx,4400,https://github.com/jenkins-x/jx,"Nov 8, 2023"
ovh,cds,4300,https://github.com/ovh/cds,"Nov 11, 2023"
JamesIves,github-pages-deploy-action,3900,https://github.com/JamesIves/github-pages-deploy-action,"Nov 10, 2023"
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty,"Dec 20, 2022"
iterative,cml,3800,https://github.com/iterative/cml,"Oct 18, 2023"
werf,werf,3800,https://github.com/werf/werf,"Nov 10, 2023"
hygieia,hygieia,3800,https://github.com/hygieia/hygieia,"Sep 29, 2023"
